step,train_loss,train_mean_token_accuracy,train_error_rate,timestamp
1,0.6323510408401489,,0,2026-08-18T16:27:53.9870000Z
2,0.6350488066673279,,0,2026-08-18T16:28:07.6270000Z
3,0.6270892024040222,,0,2026-08-18T16:28:21.5850000Z
4,0.7545347213745117,,1,2026-08-18T16:28:35.2600000Z
5,0.6673905253410339,,0,2026-08-18T16:28:48.9180000Z
6,0.6943461894989014,,0,2026-08-18T16:29:02.5910000Z
7,0.6268661618232727,,0,2026-08-18T16:29:16.2630000Z
8,0.7109022736549377,,1,2026-08-18T16:29:30.5370000Z
9,0.7307509779930115,,1,2026-08-18T16:29:44.2330000Z
10,0.7021297216415405,,0,2026-08-18T16:29:57.9100000Z
11,0.7411626577377319,,1,2026-08-18T16:30:11.8800000Z
12,0.6373499631881714,,0,2026-08-18T16:30:25.5650000Z
13,0.6067284941673279,,0,2026-08-18T16:30:42.5080000Z
14,0.6108435392379761,,0,2026-08-18T16:30:56.1450000Z
15,0.7097419500350952,,0,2026-08-18T16:31:09.8040000Z
16,0.6851513385772705,,0,2026-08-18T16:31:23.4590000Z
17,0.6119649410247803,,0,2026-08-18T16:31:37.1080000Z
18,0.6440544128417969,,0,2026-08-18T16:31:50.7720000Z
19,0.7344555258750916,,1,2026-08-18T16:32:04.7090000Z
20,0.649292528629303,,0,2026-08-18T16:32:18.6520000Z
21,0.6508849859237671,,0,2026-08-18T16:32:32.6140000Z
22,0.6057836413383484,,0,2026-08-18T16:32:46.2580000Z
23,0.5894213914871216,,0,2026-08-18T16:32:59.8930000Z
24,0.6560373306274414,,0,2026-08-18T16:33:13.5370000Z
25,0.5947484374046326,,0,2026-08-18T16:33:29.6090000Z
26,0.6649150252342224,,0,2026-08-18T16:33:43.2730000Z
27,0.5783735513687134,,0,2026-08-18T16:33:56.9500000Z
28,0.6520048379898071,,0,2026-08-18T16:34:10.6210000Z
29,0.5706254243850708,,0,2026-08-18T16:34:24.5940000Z
30,0.669314980506897,,0,2026-08-18T16:34:38.5740000Z
31,0.583748996257782,,0,2026-08-18T16:34:52.2620000Z
32,0.6265023350715637,,0,2026-08-18T16:35:05.9460000Z
33,0.5825998187065125,,0,2026-08-18T16:35:19.9240000Z
34,0.6147481799125671,,0,2026-08-18T16:35:33.6070000Z
35,0.7268346548080444,,0,2026-08-18T16:35:47.2870000Z
36,0.6247239708900452,,0,2026-08-18T16:36:01.4570000Z
